Medical Specialty (Advisory Committee),Regulation No.,Medical Specialty Code
Anesthesiology,Part 868,AN
Cardiovascular,Part 870,CV
Clinical Chemistry,Part 862,CH
Dental,Part 872,DE
"Ear, Nose, & Throat",Part 874,EN
Gastroenterology & Urology,Part 876,GU
General Hospital,Part 880,HO
Hematology,Part 864,HE
Immunology,Part 866,IM
Microbiology,Part 866,MI
Neurology,Part 882,NE
Obstetrics/Gynecology,Part 884,OB
Ophthalmic,Part 886,OP
Orthopedic,Part 888,OR
Pathology,Part 864,PA
Physical Medicine,Part 890,PM
Radiology,Part 892,RA
General & Plastic Surgery,Part 878,SU
Clinical Toxicology,Part 862,TX
